1	Massachusetts Institute of Technology (MIT)
2	Stanford University
3	Carnegie Mellon University
4	University of California, Berkeley
5	University of Oxford
6	University of Cambridge
7	Harvard University
8	Ecole Polytechnique Fédérale de Lausanne (EPFL)
9	ETH Zurich
10	University of Toronto
11	Princeton University
12	National University of Singapore
13	Tsinghua University
14	Imperial College London
15	University of California, Los Angeles (UCLA)
16	Nanyang Technological University (NTU)
17	University College London (UCL)
18	University of Washington
19	Columbia University
19	Cornell University
19	New York University (NYU)
19	Peking University
23	University of Edinburgh
24	University of Waterloo
25	University of British Columbia
26	Hong Kong University of Science and Technology
27	Georgia Institute of Technology
28	University of Tokyo
29	California Institute of Technology (Caltech)
30	Chinese University of Hong Kong (CUHK)
31	University of Texas at Austin
32	University of Melbourne
33	University of Illinois at Urbana-Champaign
34	Shanghai Jiao Tong University
35	University of Pennsylvania
36	Korea Advanced Institute of Science and Technology (KAIST)
36	Technical University of Munich
38	University of Hong Kong
39	Université Paris Sciences et Lettres (PSL)
40	Politecnico di Milano
41	Australian National University
42	University of Sydney
43	KTH Royal Institute of Technology
44	University of Southern California
45	University of Amsterdam
46	Yale University
47	University of Chicago
48	Seoul National University
48	University of Michigan-Ann Arbor
50	University of Maryland, College Park
51-100	Aarhus University
51-100	Boston University
51-100	City University of Hong Kong
51-100	Delft University of Technology
51-100	Duke University
51-100	Ecole Polytechnique
51-100	Eindhoven University of Technology
51-100	Fudan University
51-100	Indian Institute of Technology Bombay (IITB)
51-100	Indian Institute of Technology Delhi (IITD)
51-100	Johns Hopkins University
51-100	KU Leuven
51-100	King Abdulaziz University (KAU)
51-100	King's College London
51-100	Karlsruhe Institute of Technology (KIT)
51-100	Korea University
51-100	Kyoto University
51-100	Lomonosov Moscow State University
51-100	LMU Munich
51-100	McGill University
51-100	Monash University
51-100	National Taiwan University
51-100	Politecnico di Torino
51-100	Purdue University
51-100	RWTH Aachen University
51-100	Sapienza University of Rome
51-100	Sorbonne University
51-100	Sungkyunkwan University(SKKU)
51-100	Technical University of Berlin
51-100	Vienna University of Technology
51-100	Hong Kong Polytechnic University
51-100	University of Auckland
51-100	University of Manchester
51-100	University of New South Wales (UNSW Sydney)
51-100	University of Queensland
51-100	Tokyo Institute of Technology (Tokyo Tech)
51-100	Trinity College Dublin, University of Dublin
51-100	Universidad de Chile
51-100	Universidade de São Paulo
51-100	Alma Mater Studiorum - University of Bologna
51-100	Universitat Politècnica de Catalunya · BarcelonaTech (UPC)
51-100	KU Leuven
51-100	Université de Montréal
51-100	Universiti Malaya (UM)
51-100	University of Alberta
51-100	University of California, San Diego
51-100	School of Management, University of Science and Technology of China
51-100	University of Technology Sydney
51-100	University of Wisconsin-Madison
51-100	Zhejiang University
