1	Massachusetts Institute of Technology (MIT)
2	Stanford University
3	University of California, Berkeley
4	Carnegie Mellon University
5	ETH Zurich
6	Harvard University
7	Tsinghua University
8	University of California, Los Angeles (UCLA)
9	Princeton University
10	University of Oxford
11	University of Texas at Austin
12	University of Toronto
13	Nanyang Technological University (NTU)
14	Cornell University
15	University of Southern California
16	National University of Singapore
17	University of North Carolina at Chapel Hill
18	Georgia Institute of Technology
19	University College London (UCL)
20	University of Michigan-Ann Arbor
21	University of Edinburgh
22	Columbia University
23	Chinese University of Hong Kong (CUHK)
24	University of Illinois at Urbana-Champaign
25	University of Copenhagen
26	University of Washington
27	Shanghai Jiao Tong University
27	University of Cambridge
29	University of Technology Sydney
30	University of Wisconsin-Madison
31	Zhejiang University
32	Weizmann Institute of Science
33	Ecole Polytechnique Fédérale de Lausanne (EPFL)
34	University of Science and Technology of China
35	Harbin Institute of Technology
36	University of California, San Diego
37	New York University (NYU)
38	University of Maryland, College Park
39	Huazhong University of Science and Technology
40	Imperial College London
41	City University of Hong Kong
41	Peking University
43	University of Adelaide
44	University of Waterloo
45	University of British Columbia
46	Australian National University
47	Aalto University
48	University of Electronic Science and Technology of China
49	University of Oslo
50	Hong Kong Polytechnic University
51-75	Beihang University
51-75	Dalian University of Technology
51-75	Duke University
51-75	Karlsruhe Institute of Technology (KIT)
51-75	King Abdulaziz University (KAU)
51-75	Korea Advanced Institute of Science and Technology (KAIST)
51-75	KTH Royal Institute of Technology
51-75	Michigan State University
51-75	Northwestern Polytechnical University
51-75	Purdue University
51-75	Rutgers, State University of New Jersey - New Brunswick
51-75	RWTH Aachen University
51-75	Southeast University
51-75	Technical University Munich
51-75	Technion - Israel Institute of Technology
51-75	Tel Aviv University
51-75	Hong Kong University of Science and Technology
51-75	University of Melbourne
51-75	Université Grenoble Alpes
51-75	University of Alberta
51-75	University of California, Irvine
51-75	University of Montreal
51-75	University of Pennsylvania
51-75	Xi'an Jiaotong University
51-75	Xidian University
76-100	Arizona State University
76-100	Beijing University of Posts and Telecommunications
76-100	California Institute of Technology (Caltech)
76-100	Ecole Normale Superieure - Paris
76-100	Indiana University Bloomington
76-100	Johns Hopkins University
76-100	KU Leuven
76-100	Nanjing University
76-100	Nanjing University of Information Science & Technology
76-100	Northumbria University
76-100	Penn State University
76-100	Shenzhen University
76-100	Simon Fraser University
76-100	Sun Yat-sen University
76-100	Technical University of Denmark
76-100	University of Hong Kong
76-100	University of New South Wales (UNSW Sydney)
76-100	University of Tokyo
76-100	Tianjin University
76-100	University at Buffalo, the State University of New York
76-100	University of Amsterdam
76-100	University of Granada
76-100	University of Sydney
76-100	University of Virginia
76-100	Virginia Polytechnic Institute and State University
