1	University of Oxford
2	Stanford University
3	ETH Zurich
4	Massachusetts Institute of Technology (MIT)
5	University of Cambridge
6	Carnegie Mellon University
7	Imperial College London
8	Harvard University
9	Princeton University
10	California Institute of Technology (Caltech)
11	National University of Singapore
12	University of California, Los Angeles (UCLA)
13	Nanyang Technological University (NTU)
14	Cornell University
15	Tsinghua University
16	Georgia Institute of Technology
17	Hong Kong University of Science and Technology
18	Technical University of Munich
19	University College London (UCL)
20	Ecole Polytechnique Fédérale de Lausanne (EPFL)
21	Columbia University
22	University of Michigan-Ann Arbor
23	University of Toronto
24	University of Edinburgh
25	University of Texas at Austin
26	University of Washington
27	Peking University
28	Yale University
29	University of Illinois at Urbana-Champaign
30	Johns Hopkins University
31	University of Montreal
31	University of Pennsylvania
33	New York University (NYU)
34	Université Paris Sciences et Lettres (PSL)
35	University of California, San Diego
36	Chinese University of Hong Kong (CUHK)
37	University of Southern California
38	University of Hong Kong
39	University of Chicago
40	University of Waterloo
41	Zhejiang University
42	University of Tokyo
43	University of British Columbia
44	Korea Advanced Institute of Science and Technology (KAIST)
45	Shanghai Jiao Tong University
46	RWTH Aachen University
47	Delft University of Technology
47	Seoul National University
49	University of Maryland, College Park
50	Karlsruhe Institute of Technology (KIT)
50	University of Wisconsin-Madison
52	KU Leuven
53	Duke University
54	University of California, Santa Barbara
55	Technical University of Berlin
56	Aalto University
56	University of Melbourne
58	LMU Munich
59	Eindhoven University of Technology
60	Rice University
61	University of Science and Technology of China
62	University of California, Irvine
63	Ecole Polytechnique
64	Technion - Israel Institute of Technology
65	University of Freiburg
66	McGill University
67	National Taiwan University
68	Technical University of Darmstadt
69	Australian National University
69	KTH Royal Institute of Technology
71	Pohang University of Science and Technology (POSTECH)
72	Nanjing University
72	Vrije Universiteit Amsterdam
74	Brown University
74	ITMO University
76	Vienna University of Technology
77	University of Massachusetts
78	University of Amsterdam
79	King's College London
79	University of Technology Sydney
79	University of New South Wales (UNSW Sydney)
82	Kyoto University
83	Northwestern University
83	University of Zurich
85	University of Manchester
86	Queensland University of Technology
86	University of Sydney
88	Sorbonne University
89	Virginia Polytechnic Institute and State University
90	University of Luxembourg
91	Boston University
92	Chalmers University of Technology
92	Heidelberg University
92	Penn State University
95	Moscow Institute of Physics and Technology (MIPT)
96	University of Adelaide
97	Politecnico di Milano
98	Hong Kong Polytechnic University
99	Michigan State University
100	Aarhus University
